Inference Time (us),Classification,Probability
3183.32,circle,1.0
3180.57,circle,1.0
3186.65,circle,0.97
3187.73,downup,0.53
3185.4,circle,0.99
3186.56,circle,0.9
3186.4,circle,0.96
3186.57,downup,0.97
3186.94,circle,0.95
3187.42,circle,0.6
3186.61,downup,0.92
3186.55,downup,0.98
3183.69,circle,1.0
3169.02,circle,1.0
3185.48,circle,0.99
3183.43,circle,1.0
3186.82,downup,0.95
3183.56,downup,1.0
3183.26,circle,1.0
3183.82,downup,1.0
3186.44,circle,0.78
3183.25,circle,1.0
3186.17,circle,0.89
3186.79,downup,0.55
3186.2,circle,0.93
3182.9,circle,1.0
3183.49,circle,1.0
3182.94,circle,1.0
3186.63,circle,0.97
3185.89,downup,0.98
3185.87,circle,0.98
3183.13,circle,1.0
3185.39,circle,0.99
3186.65,downup,0.81
3183.26,circle,1.0
3183.32,circle,1.0
3183.33,circle,1.0
3186.37,circle,0.75
3187.55,circle,0.68
3186.37,circle,0.8
3187.45,circle,0.6
3183.13,circle,1.0
3183.39,circle,1.0
3183.33,circle,1.0
3183.29,circle,1.0
3182.71,circle,1.0
3168.96,circle,1.0
3186.35,circle,0.93
3179.11,circle,1.0
3182.9,circle,1.0
