Inference Time (us),Classification,Probability
17.18,circle,1.0
17.02,circle,1.0
17.24,circle,1.0
17.27,circle,1.0
17.24,circle,1.0
13.36,downup,1.0
17.21,circle,1.0
17.61,circle,1.0
17.27,circle,1.0
17.64,circle,1.0
16.57,circle,1.0
17.33,circle,1.0
16.51,circle,1.0
15.14,circle,1.0
16.3,circle,1.0
16.95,circle,1.0
16.37,circle,1.0
16.49,circle,1.0
15.61,circle,1.0
16.86,circle,1.0
16.3,circle,1.0
16.77,circle,1.0
15.7,circle,1.0
16.69,circle,1.0
16.0,circle,1.0
15.89,circle,1.0
16.29,circle,1.0
16.77,circle,1.0
16.55,circle,1.0
16.06,circle,1.0
17.46,circle,1.0
15.98,circle,1.0
16.99,circle,1.0
16.92,circle,1.0
16.95,circle,1.0
17.57,circle,1.0
16.81,circle,1.0
16.37,circle,1.0
16.55,circle,1.0
13.36,downup,1.0
16.57,circle,1.0
17.11,circle,1.0
16.06,circle,1.0
15.58,circle,1.0
17.5,circle,1.0
17.33,circle,1.0
17.36,circle,1.0
17.61,circle,1.0
17.46,circle,1.0
16.56,circle,1.0
