Inference Time (us),Classification,Probability
3168.94,downup,1.0
3169.18,downup,1.0
3169.52,downup,1.0
3168.87,downup,1.0
3186.87,downup,0.96
3169.31,downup,1.0
3169.29,downup,1.0
3169.56,downup,1.0
3169.13,downup,1.0
3168.63,downup,1.0
3169.07,downup,1.0
3169.17,downup,1.0
3169.35,downup,1.0
3169.76,downup,1.0
3169.1,downup,1.0
3168.77,downup,1.0
3169.07,downup,1.0
3169.62,downup,1.0
3169.49,downup,1.0
3169.52,downup,1.0
3169.24,downup,1.0
3169.52,downup,1.0
3169.51,downup,1.0
3169.7,downup,1.0
3169.57,downup,1.0
3169.18,downup,1.0
3169.11,downup,1.0
3168.69,downup,1.0
3169.37,downup,1.0
3169.33,downup,1.0
3169.01,downup,1.0
3169.08,downup,1.0
3183.48,downup,1.0
3169.46,downup,1.0
3169.1,downup,1.0
3169.39,downup,1.0
3169.08,downup,1.0
3168.45,downup,1.0
3167.83,downup,1.0
3169.43,downup,1.0
3169.48,downup,1.0
3169.46,downup,1.0
3182.94,downup,1.0
3169.48,downup,1.0
3169.29,downup,1.0
3169.32,downup,1.0
3169.58,downup,1.0
3167.89,downup,1.0
3168.99,downup,1.0
3169.57,downup,1.0
