Inference Time (us),Classification,Probability
12.87,downup,1.0
13.31,downup,1.0
13.11,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
13.31,downup,1.0
12.87,downup,1.0
12.82,downup,1.0
13.2,downup,1.0
13.14,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.82,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
13.06,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.82,downup,1.0
13.31,downup,1.0
12.96,downup,1.0
13.45,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
13.01,downup,1.0
12.87,downup,1.0
13.07,downup,1.0
12.87,downup,1.0
13.2,downup,1.0
13.21,downup,1.0
13.12,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
13.46,downup,1.0
13.06,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
13.12,downup,1.0
12.96,downup,1.0
12.87,downup,1.0
12.96,downup,1.0
13.07,downup,1.0
13.01,downup,1.0
