Inference Time (us),Classification,Probability
3169.79,leftright,1.0
3169.35,leftright,1.0
3168.7,leftright,1.0
3169.5,leftright,1.0
3169.88,leftright,1.0
3168.82,leftright,1.0
3169.67,leftright,1.0
3182.74,downup,1.0
3169.73,leftright,1.0
3168.86,leftright,1.0
3169.3,leftright,1.0
3169.45,leftright,1.0
3169.83,leftright,1.0
3168.86,leftright,1.0
3169.01,leftright,1.0
3169.93,leftright,1.0
3169.98,leftright,1.0
3180.44,leftright,1.0
3169.51,leftright,1.0
3168.76,leftright,1.0
3169.4,leftright,1.0
3169.11,leftright,1.0
3179.37,leftright,1.0
3169.05,leftright,1.0
3187.21,leftright,0.67
3169.39,leftright,1.0
3169.54,leftright,1.0
3169.27,leftright,1.0
3168.63,leftright,1.0
3169.4,leftright,1.0
3168.99,leftright,1.0
3169.49,leftright,1.0
3169.64,leftright,1.0
3168.95,leftright,1.0
3169.63,leftright,1.0
3182.35,leftright,1.0
3169.64,leftright,1.0
3169.49,leftright,1.0
3169.76,leftright,1.0
3180.06,leftright,1.0
3168.69,leftright,1.0
3169.35,leftright,1.0
3169.15,leftright,1.0
3169.68,leftright,1.0
3168.46,leftright,1.0
3169.15,leftright,1.0
3183.02,leftright,1.0
3169.12,leftright,1.0
3169.51,leftright,1.0
3169.26,leftright,1.0
