Inference Time (us),Classification,Probability
14.64,downup,1.0
17.65,leftright,1.0
17.85,leftright,1.0
17.86,leftright,1.0
18.57,leftright,1.0
17.08,leftright,1.0
17.39,leftright,1.0
16.21,leftright,1.0
17.85,leftright,1.0
15.45,leftright,1.0
17.63,leftright,1.0
17.83,leftright,1.0
16.52,leftright,1.0
17.54,leftright,1.0
17.63,leftright,1.0
16.76,leftright,1.0
16.85,circle,1.0
14.94,updown,1.0
15.04,downup,1.0
13.85,downup,1.0
16.56,leftright,1.0
15.6,leftright,1.0
17.86,leftright,1.0
15.33,leftright,1.0
14.19,updown,1.0
15.99,leftright,1.0
17.85,leftright,1.0
17.86,leftright,1.0
17.63,leftright,1.0
16.23,leftright,1.0
17.85,leftright,1.0
15.57,leftright,1.0
17.62,leftright,1.0
16.56,leftright,1.0
15.68,leftright,1.0
17.86,leftright,1.0
16.43,leftright,1.0
14.62,downup,1.0
16.86,circle,1.0
17.33,leftright,1.0
17.86,leftright,1.0
17.85,leftright,1.0
16.54,circle,1.0
17.8,leftright,1.0
15.49,updown,1.0
17.5,leftright,1.0
17.3,leftright,1.0
17.65,leftright,1.0
17.85,leftright,1.0
14.94,updown,1.0
