Inference Time (us),Classification,Probability
3181.04,lightning,1.0
3183.38,lightning,1.0
3183.02,lightning,1.0
3184.01,lightning,1.0
3179.36,lightning,1.0
3183.73,lightning,1.0
3179.83,lightning,1.0
3169.9,lightning,1.0
3170.08,lightning,1.0
3169.95,lightning,1.0
3179.55,lightning,1.0
3169.58,lightning,1.0
3180.07,lightning,1.0
3179.95,lightning,1.0
3179.8,lightning,1.0
3183.25,lightning,1.0
3169.99,lightning,1.0
3169.81,lightning,1.0
3184.05,lightning,1.0
3183.1,lightning,1.0
3169.71,lightning,1.0
3169.62,lightning,1.0
3184.49,lightning,1.0
3179.79,lightning,1.0
3168.37,lightning,1.0
3184.25,lightning,1.0
3179.87,lightning,1.0
3183.92,lightning,1.0
3183.54,lightning,1.0
3178.98,lightning,1.0
3169.3,lightning,1.0
3169.56,lightning,1.0
3170.0,lightning,1.0
3183.21,lightning,1.0
3179.57,lightning,1.0
3168.49,lightning,1.0
3181.06,lightning,1.0
3183.71,lightning,1.0
3184.11,lightning,1.0
3169.95,lightning,1.0
3169.86,lightning,1.0
3180.17,lightning,1.0
3179.79,lightning,1.0
3184.2,lightning,1.0
3169.7,lightning,1.0
3169.86,lightning,1.0
3169.81,lightning,1.0
3169.65,lightning,1.0
3169.75,lightning,1.0
3169.51,lightning,1.0
