Inference Time (us),Classification,Probability
14.26,downup,1.0
16.65,lightning,1.0
16.25,lightning,1.0
18.68,lightning,1.0
16.46,lightning,1.0
16.85,lightning,1.0
15.96,downup,1.0
18.95,lightning,1.0
16.23,lightning,1.0
18.89,lightning,1.0
16.83,lightning,1.0
19.38,lightning,1.0
18.18,lightning,1.0
19.1,lightning,1.0
18.76,lightning,1.0
18.96,lightning,1.0
17.08,lightning,1.0
17.74,lightning,1.0
16.95,lightning,1.0
18.4,lightning,1.0
17.33,lightning,1.0
16.19,lightning,1.0
17.44,lightning,1.0
17.11,downup,1.0
17.21,circle,1.0
17.61,lightning,1.0
18.56,lightning,1.0
15.7,downup,1.0
18.13,circle,1.0
16.62,downup,1.0
19.38,lightning,1.0
17.77,lightning,1.0
18.46,lightning,1.0
18.3,circle,1.0
19.1,lightning,1.0
18.46,circle,1.0
17.85,circle,1.0
16.98,lightning,1.0
18.33,lightning,1.0
19.18,lightning,1.0
17.15,lightning,1.0
17.18,lightning,1.0
18.75,lightning,1.0
18.89,lightning,1.0
17.8,circle,1.0
18.13,lightning,1.0
18.13,lightning,1.0
18.83,lightning,1.0
19.25,lightning,1.0
19.46,lightning,1.0
18.25,circle,1.0
16.17,downup,1.0
