Inference Time (us),Classification,Probability
3169.43,downup,1.0
3183.7,downup,1.0
3184.4,rightleft,1.0
3180.44,rightleft,1.0
3188.0,rightleft,0.58
3183.07,downup,1.0
3188.23,updown,0.44
3184.99,rightleft,0.99
3186.95,downup,0.88
3184.76,rightleft,0.99
3185.71,rightleft,0.99
3184.11,rightleft,1.0
3179.3,rightleft,1.0
3187.96,rightleft,0.56
3183.64,rightleft,1.0
3184.5,rightleft,1.0
3187.45,rightleft,0.96
3186.32,downup,0.98
3180.81,downup,1.0
3184.02,rightleft,1.0
3183.69,rightleft,1.0
3184.65,rightleft,1.0
3184.08,rightleft,1.0
3183.93,rightleft,1.0
3184.07,rightleft,1.0
3184.61,rightleft,1.0
3184.32,rightleft,1.0
3183.55,rightleft,0.99
3170.31,rightleft,1.0
3183.49,rightleft,1.0
3186.51,downup,0.84
3184.08,rightleft,1.0
3183.98,rightleft,1.0
3187.18,rightleft,0.93
3169.77,rightleft,1.0
3186.93,downup,0.91
3187.86,rightleft,0.91
3183.14,rightleft,1.0
3187.2,rightleft,0.92
3169.79,rightleft,1.0
3186.69,downup,0.92
3170.31,rightleft,1.0
3169.82,rightleft,1.0
3169.8,rightleft,1.0
3188.13,rightleft,0.6
3187.43,rightleft,0.97
3184.3,rightleft,1.0
3184.04,rightleft,1.0
3186.3,rightleft,0.99
3183.99,rightleft,1.0
3183.93,rightleft,1.0
3183.45,downup,1.0
3186.93,downup,0.92
3184.38,downup,0.99
