Inference Time (us),Classification,Probability
12.87,downup,1.0
13.92,rightleft,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
14.07,rightleft,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
14.29,rightleft,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
13.8,rightleft,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
13.55,rightleft,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
12.87,downup,1.0
