Inference Time (us),Classification,Probability
3184.42,updown,1.0
3184.81,updown,1.0
3184.8,updown,1.0
3183.92,updown,1.0
3187.62,updown,0.96
3184.54,updown,1.0
3184.15,updown,1.0
3188.2,rightleft,0.57
3188.6,updown,0.68
3184.27,updown,1.0
3184.69,updown,0.99
3184.35,updown,1.0
3184.33,updown,1.0
3184.44,updown,1.0
3187.27,updown,0.88
3183.74,updown,1.0
3184.6,updown,1.0
3181.05,updown,1.0
3185.06,updown,1.0
3186.82,updown,0.98
3184.43,updown,1.0
3184.02,updown,1.0
3184.24,updown,1.0
3184.4,updown,1.0
3184.39,updown,1.0
3183.18,updown,1.0
3183.81,updown,1.0
3180.43,updown,1.0
3181.15,updown,1.0
3184.42,updown,1.0
3187.77,updown,0.98
3184.02,updown,1.0
3183.81,updown,1.0
3184.08,updown,1.0
3170.33,updown,1.0
3184.31,updown,1.0
3183.96,updown,1.0
3183.86,updown,1.0
3184.68,updown,1.0
3184.18,updown,1.0
3184.12,updown,1.0
3184.04,updown,1.0
3184.51,updown,1.0
3185.0,updown,0.99
3184.07,updown,1.0
3184.57,updown,1.0
3184.25,updown,1.0
3184.46,updown,1.0
3183.58,updown,1.0
3184.1,updown,1.0
