Inference Time (us),Classification,Probability
14.74,updown,1.0
14.67,updown,1.0
14.67,updown,1.0
14.57,updown,1.0
14.67,updown,1.0
14.67,updown,1.0
14.57,updown,1.0
14.67,updown,1.0
14.74,updown,1.0
14.67,updown,1.0
14.77,updown,1.0
14.33,updown,1.0
14.35,updown,1.0
14.29,updown,1.0
14.3,updown,1.0
14.39,updown,1.0
14.2,updown,1.0
14.73,updown,1.0
14.26,updown,1.0
14.68,updown,1.0
14.25,updown,1.0
14.64,updown,1.0
14.73,updown,1.0
14.73,updown,1.0
14.57,updown,1.0
14.73,updown,1.0
14.64,updown,1.0
15.08,updown,1.0
14.27,updown,1.0
14.76,updown,1.0
14.33,updown,1.0
14.29,updown,1.0
14.71,updown,1.0
14.32,updown,1.0
14.33,updown,1.0
14.29,updown,1.0
14.38,updown,1.0
14.31,updown,1.0
14.73,updown,1.0
14.25,updown,1.0
14.64,updown,1.0
14.36,updown,1.0
14.18,updown,1.0
14.65,updown,1.0
14.83,updown,1.0
14.26,updown,1.0
14.25,updown,1.0
14.37,updown,1.0
14.83,updown,1.0
14.68,updown,1.0
